County,Candidate,Votes,Percentage
All,All,369711,100.0
All,Charles Casper Stockham,85213,23.04854332167558
All,Diana DeGette,272892,73.81224794501652
All,Raymon Anthony Doane,11606,3.1392087333079077
Jefferson,All,38855,10.509560169970598
Jefferson,Charles Casper Stockham,19723,50.760519881611124
Jefferson,Diana DeGette,17963,46.23085831939262
Jefferson,Raymon Anthony Doane,1169,3.0086217989962685
Denver,All,306055,82.78222719908253
Denver,Charles Casper Stockham,57188,18.685530378526735
Denver,Diana DeGette,239282,78.18267958373495
Denver,Raymon Anthony Doane,9585,3.1317900377383148
Arapahoe,All,24801,6.708212630946875
Arapahoe,Charles Casper Stockham,8302,33.474456675134064
Arapahoe,Diana DeGette,15647,63.090197975888074
Arapahoe,Raymon Anthony Doane,852,3.4353453489778643
